team,window,seasons_used,current_win_pct,current_net_rating,current_n_superstars,current_n_stars,current_top_player,current_2nd_player,current_W,current_L,current_win_pct_trend,current_net_rating_trend,current_n_superstars_trend,match_rank,match_type,match_team,match_seasons,match_anchor_season,match_3yr_W,match_3yr_L,match_avg_win_pct,match_avg_net_rating,match_top_player,match_2nd_player,match_top_5_players,match_win_pct_trend,match_net_rating_trend,match_n_superstars_trend,match_next_1yr_win_pct,match_next_2yr_win_pct,match_next_avg_win_pct,match_next_1yr_playoff_round,match_next_2yr_playoff_round,similarity_score,level_similarity,trend_similarity,level_reason,trend_reason
Golden State Warriors,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.565,2.5,0.0,1,Stephen Curry,Jimmy Butler III,48,34,0.024,0.8,0.0,2,top_2,Houston Rockets,2010-11 / 2011-12 / 2012-13,2012-13,122,108,0.531,2.0,James Harden,Jeremy Lin,"James Harden, Omer Asik, Jeremy Lin, Chandler Parsons, Carlos Delfino",0.012,0.6,0.0,0.659,0.683,0.671,1.0,3.0,38.1,47.3,45.9,Similar superstar presence + roster potential,Similar superstar presence trend + net rating trend
Golden State Warriors,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.565,2.5,0.0,1,Stephen Curry,Jimmy Butler III,48,34,0.024,0.8,0.0,3,top_3,Washington Wizards,2015-16 / 2016-17 / 2017-18,2017-18,133,113,0.544,0.6,John Wall,Bradley Beal,"Bradley Beal, Otto Porter Jr., John Wall, Marcin Gortat, Markieff Morris",0.012,0.5,0.0,0.39,0.347,0.369,0.0,0.0,36.5,39.1,56.4,Similar superstar presence + star players lost,Similar superstar presence trend + top player quality trend
Golden State Warriors,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.565,2.5,0.0,1,Stephen Curry,Jimmy Butler III,48,34,0.024,0.8,0.0,4,optimistic,Detroit Pistons,1999-00 / 2000-01 / 2001-02,2001-02,124,122,0.509,0.6,Jerry Stackhouse,Ben Wallace,"Jerry Stackhouse, Ben Wallace, Corliss Williamson, Clifford Robinson, Jon Barry",0.049,0.4,0.0,0.61,0.659,0.634,1.0,5.0,35.9,38.0,57.9,Similar superstar presence + defensive rank,Similar superstar presence trend + net rating trend
Golden State Warriors,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.565,2.5,0.0,1,Stephen Curry,Jimmy Butler III,48,34,0.024,0.8,0.0,5,pessimistic,Memphis Grizzlies,2003-04 / 2004-05 / 2005-06,2005-06,144,102,0.584,3.2,Pau Gasol,Mike Miller,"Pau Gasol, Mike Miller, Shane Battier, Eddie Jones, Bobby Jackson",-0.006,0.7,0.0,0.268,0.268,0.268,0.0,0.0,40.2,52.7,45.7,Similar superstar presence + star players lost,Similar superstar presence trend + net rating trend
Houston Rockets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.496,0.1,0.0,1,Alperen Sengun,Jalen Green,52,30,0.183,6.3,0.0,1,top_1,Phoenix Suns,2018-19 / 2019-20 / 2020-21,2020-21,104,123,0.504,0.3,Chris Paul,Devin Booker,"Chris Paul, Devin Booker, Deandre Ayton, Mikal Bridges, Cameron Payne",0.238,7.4,0.0,0.78,0.549,0.665,0.0,2.0,38.0,43.0,51.0,Similar superstar presence + star players lost,Similar superstar presence trend + top player quality trend
Houston Rockets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.496,0.1,0.0,1,Alperen Sengun,Jalen Green,52,30,0.183,6.3,0.0,2,top_2,Portland Trail Blazers,2006-07 / 2007-08 / 2008-09,2008-09,127,119,0.536,0.9,Brandon Roy,LaMarcus Aldridge,"Brandon Roy, LaMarcus Aldridge, Travis Outlaw, Greg Oden, Joel Przybilla",0.134,5.4,0.0,0.61,0.585,0.597,1.0,1.0,37.7,48.3,44.3,Similar superstar presence + star players lost,Similar superstar presence trend + net rating trend
Houston Rockets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.496,0.1,0.0,1,Alperen Sengun,Jalen Green,52,30,0.183,6.3,0.0,3,top_3,Milwaukee Bucks,2007-08 / 2008-09 / 2009-10,2009-10,106,140,0.449,-1.3,Brandon Jennings,Andrew Bogut,"Andrew Bogut, Brandon Jennings, John Salmons, Ersan Ilyasova, Luke Ridnour",0.122,4.7,0.0,0.427,0.47,0.448,0.0,0.0,34.3,47.7,39.0,Similar superstar presence + star players lost,Similar superstar presence trend + roster depth trend
Houston Rockets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.496,0.1,0.0,1,Alperen Sengun,Jalen Green,52,30,0.183,6.3,0.0,4,optimistic,Boston Celtics,2013-14 / 2014-15 / 2015-16,2015-16,113,133,0.481,0.3,Isaiah Thomas,Jared Sullinger,"Isaiah Thomas, Jared Sullinger, Kelly Olynyk, Evan Turner, Amir Johnson",0.14,3.9,0.0,0.646,0.671,0.659,3.0,3.0,34.1,49.1,38.1,Similar superstar presence + star players gained,Similar superstar presence trend + offensive rank trend
Houston Rockets,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.496,0.1,0.0,1,Alperen Sengun,Jalen Green,52,30,0.183,6.3,0.0,5,pessimistic,Milwaukee Bucks,2007-08 / 2008-09 / 2009-10,2009-10,106,140,0.449,-1.3,Brandon Jennings,Andrew Bogut,"Andrew Bogut, Brandon Jennings, John Salmons, Ersan Ilyasova, Luke Ridnour",0.122,4.7,0.0,0.427,0.47,0.448,0.0,0.0,34.3,47.7,39.0,Similar superstar presence + star players lost,Similar superstar presence trend + roster depth trend
Indiana Pacers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.551,1.0,0.0,2,Tyrese Haliburton,Pascal Siakam,50,32,0.091,2.7,0.0,1,top_1,Dallas Mavericks,1998-99 / 1999-00 / 2000-01,2000-01,112,102,0.524,0.9,Michael Finley,Dirk Nowitzki,"Dirk Nowitzki, Michael Finley, Juwan Howard, Steve Nash, Shawn Bradley",0.133,3.6,0.0,0.695,0.732,0.713,2.0,3.0,48.5,57.8,56.4,Similar superstar presence + star players lost,Similar superstar presence trend + offensive rank trend
Indiana Pacers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.551,1.0,0.0,2,Tyrese Haliburton,Pascal Siakam,50,32,0.091,2.7,0.0,2,top_2,Toronto Raptors,2012-13 / 2013-14 / 2014-15,2014-15,131,115,0.548,2.0,Kyle Lowry,DeMar DeRozan,"Kyle Lowry, Jonas Valančiūnas, DeMar DeRozan, Lou Williams, Amir Johnson",0.092,2.2,0.0,0.683,0.622,0.652,3.0,2.0,42.9,52.1,50.9,Similar superstar presence + star players lost,Similar superstar presence trend + win percentage trend
Indiana Pacers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.551,1.0,0.0,2,Tyrese Haliburton,Pascal Siakam,50,32,0.091,2.7,0.0,3,top_3,Atlanta Hawks,2007-08 / 2008-09 / 2009-10,2009-10,137,109,0.572,2.1,Josh Smith,Joe Johnson,"Josh Smith, Joe Johnson, Al Horford, Jamal Crawford, Marvin Williams",0.098,3.4,0.0,0.537,0.606,0.572,2.0,1.0,41.8,44.9,60.4,Similar superstar presence + star players lost,Similar superstar presence trend + top player quality trend
Indiana Pacers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.551,1.0,0.0,2,Tyrese Haliburton,Pascal Siakam,50,32,0.091,2.7,0.0,4,optimistic,Indiana Pacers,2009-10 / 2010-11 / 2011-12,2011-12,111,119,0.51,0.3,Danny Granger,Roy Hibbert,"Roy Hibbert, Danny Granger, David West, Paul George, Darren Collison",0.123,3.1,0.0,0.605,0.683,0.644,3.0,3.0,36.7,45.1,45.0,Similar superstar presence + star players lost,Similar superstar presence trend + roster depth trend
Indiana Pacers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.551,1.0,0.0,2,Tyrese Haliburton,Pascal Siakam,50,32,0.091,2.7,0.0,5,pessimistic,Toronto Raptors,2005-06 / 2006-07 / 2007-08,2007-08,115,131,0.483,0.9,Chris Bosh,T.J. Ford,"Chris Bosh, Jose Calderon, T.J. Ford, Anthony Parker, Jamario Moon",0.085,3.2,0.0,0.402,0.488,0.445,0.0,0.0,37.8,43.6,49.6,Similar superstar presence + star players lost,Similar superstar presence trend + roster depth trend
LA Clippers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.596,3.3,0.0,2,James Harden,Ivica Zubac,50,32,0.037,2.2,0.0,1,top_1,Atlanta Hawks,2013-14 / 2014-15 / 2015-16,2015-16,146,100,0.606,3.5,Paul Millsap,Al Horford,"Paul Millsap, Al Horford, Dennis Schröder, Jeff Teague, Mike Scott",0.061,2.3,0.0,0.524,0.293,0.409,0.0,0.0,53.0,68.2,56.9,Similar superstar presence + roster potential,Similar superstar presence trend + net rating trend
LA Clippers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.596,3.3,0.0,2,James Harden,Ivica Zubac,50,32,0.037,2.2,0.0,2,top_2,Atlanta Hawks,1995-96 / 1996-97 / 1997-98,1997-98,106,58,0.608,3.8,Dikembe Mutombo,Mookie Blaylock,"Dikembe Mutombo, Steven Smith, Mookie Blaylock, Christian Laettner, Alan Henderson",0.055,2.0,0.0,0.62,0.341,0.481,2.0,0.0,42.4,57.8,46.6,Similar superstar presence + roster potential,Similar superstar presence trend + net rating trend
LA Clippers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.596,3.3,0.0,2,James Harden,Ivica Zubac,50,32,0.037,2.2,0.0,3,top_3,Memphis Grizzlies,2010-11 / 2011-12 / 2012-13,2012-13,143,87,0.631,3.2,Marc Gasol,Zach Randolph,"Marc Gasol, Zach Randolph, Mike Conley, Ed Davis, Tayshaun Prince",0.061,1.0,0.0,0.61,0.671,0.64,1.0,2.0,40.4,52.0,46.4,Similar superstar presence + top player quality,Similar superstar presence trend + win percentage trend
LA Clippers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.596,3.3,0.0,2,James Harden,Ivica Zubac,50,32,0.037,2.2,0.0,4,optimistic,Toronto Raptors,2014-15 / 2015-16 / 2016-17,2016-17,156,90,0.637,4.0,DeMar DeRozan,Kyle Lowry,"DeMar DeRozan, Kyle Lowry, Jonas Valančiūnas, Serge Ibaka, Cory Joseph",0.012,0.6,0.0,0.72,0.707,0.713,1.0,5.0,39.5,50.0,46.3,Similar superstar presence + 2nd player quality,Similar superstar presence trend + defensive rank trend
LA Clippers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.596,3.3,0.0,2,James Harden,Ivica Zubac,50,32,0.037,2.2,0.0,5,pessimistic,Atlanta Hawks,2013-14 / 2014-15 / 2015-16,2015-16,146,100,0.606,3.5,Paul Millsap,Al Horford,"Paul Millsap, Al Horford, Dennis Schröder, Jeff Teague, Mike Scott",0.061,2.3,0.0,0.524,0.293,0.409,0.0,0.0,53.0,68.2,56.9,Similar superstar presence + roster potential,Similar superstar presence trend + net rating trend
Los Angeles Lakers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.576,0.9,0.4,1,Luka Dončić,LeBron James,50,32,0.043,0.2,0.5,1,top_1,Minnesota Timberwolves,1997-98 / 1998-99 / 1999-00,1999-00,120,94,0.556,1.4,Kevin Garnett,Terrell Brandon,"Kevin Garnett, Terrell Brandon, Joe Smith, Malik Sealy, Wally Szczerbiak",0.03,0.8,0.5,0.573,0.61,0.591,0.0,0.0,27.5,32.1,38.9,Similar superstar presence + defensive rank,Similar superstar presence trend + win percentage trend
Los Angeles Lakers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.576,0.9,0.4,1,Luka Dončić,LeBron James,50,32,0.043,0.2,0.5,2,top_2,Philadelphia 76ers,2019-20 / 2020-21 / 2021-22,2021-22,143,84,0.634,3.6,Joel Embiid,James Harden,"Joel Embiid, James Harden, Tobias Harris, Tyrese Maxey, DeAndre Jordan",0.016,0.2,0.5,0.659,0.573,0.616,2.0,1.0,27.4,27.7,67.5,Similar superstar presence + 2nd player quality,Similar net rating trend + superstar presence trend
Los Angeles Lakers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.576,0.9,0.4,1,Luka Dončić,LeBron James,50,32,0.043,0.2,0.5,3,top_3,Boston Celtics,2000-01 / 2001-02 / 2002-03,2002-03,129,117,0.534,-0.0,Paul Pierce,Antoine Walker,"Paul Pierce, Antoine Walker, Eric Williams, Tony Battie, Tony Delk",0.049,0.8,0.0,0.439,0.549,0.494,1.0,1.0,25.9,37.8,30.0,Similar 2nd player quality + top player quality,Similar win percentage trend + top player quality trend
Los Angeles Lakers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.576,0.9,0.4,1,Luka Dončić,LeBron James,50,32,0.043,0.2,0.5,4,optimistic,Atlanta Hawks,2010-11 / 2011-12 / 2012-13,2012-13,128,102,0.561,1.3,Josh Smith,Al Horford,"Josh Smith, Al Horford, Jeff Teague, Kyle Korver, Ivan Johnson",-0.0,0.5,0.0,0.463,0.732,0.598,1.0,3.0,25.6,34.1,31.6,Similar top player quality + star players lost,Similar top player quality trend + net rating trend
Los Angeles Lakers,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.576,0.9,0.4,1,Luka Dončić,LeBron James,50,32,0.043,0.2,0.5,5,pessimistic,New Jersey Nets,2004-05 / 2005-06 / 2006-07,2006-07,132,114,0.537,-0.3,Vince Carter,Jason Kidd,"Vince Carter, Jason Kidd, Mikki Moore, Richard Jefferson, Marcus Williams",-0.006,0.4,0.0,0.415,0.415,0.415,0.0,0.0,25.3,33.0,31.9,Similar top player quality + net rating,Similar net rating trend + offensive rank trend
Memphis Grizzlies,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.505,0.5,0.0,1,Ja Morant,Jaren Jackson Jr.,48,34,-0.018,0.4,0.0,1,top_1,Indiana Pacers,2015-16 / 2016-17 / 2017-18,2017-18,135,111,0.551,0.9,Victor Oladipo,Myles Turner,"Victor Oladipo, Domantas Sabonis, Thaddeus Young, Darren Collison, Myles Turner",0.018,-0.2,0.0,0.585,0.616,0.601,0.0,1.0,41.4,45.9,56.1,Similar superstar presence + offensive rank,Similar superstar presence trend + top player quality trend
Memphis Grizzlies,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.505,0.5,0.0,1,Ja Morant,Jaren Jackson Jr.,48,34,-0.018,0.4,0.0,2,top_2,Washington Wizards,2015-16 / 2016-17 / 2017-18,2017-18,133,113,0.544,0.6,John Wall,Bradley Beal,"Bradley Beal, Otto Porter Jr., John Wall, Marcin Gortat, Markieff Morris",0.012,0.5,0.0,0.39,0.347,0.369,0.0,0.0,39.4,43.7,54.5,Similar superstar presence + star players gained,Similar superstar presence trend + net rating trend
Memphis Grizzlies,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.505,0.5,0.0,1,Ja Morant,Jaren Jackson Jr.,48,34,-0.018,0.4,0.0,3,top_3,Miami Heat,2015-16 / 2016-17 / 2017-18,2017-18,133,113,0.536,0.9,Hassan Whiteside,Goran Dragic,"Hassan Whiteside, Goran Dragic, Kelly Olynyk, Josh Richardson, James Johnson",-0.024,-0.6,0.0,0.476,0.603,0.539,1.0,4.0,38.8,49.9,45.2,Similar superstar presence + net rating,Similar superstar presence trend + win percentage trend
Memphis Grizzlies,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.505,0.5,0.0,1,Ja Morant,Jaren Jackson Jr.,48,34,-0.018,0.4,0.0,4,optimistic,Miami Heat,2016-17 / 2017-18 / 2018-19,2018-19,124,122,0.503,0.2,Hassan Whiteside,Dwyane Wade,"Hassan Whiteside, Dwyane Wade, Josh Richardson, Bam Adebayo, Justise Winslow",-0.012,-0.7,0.0,0.603,0.556,0.579,4.0,1.0,36.1,44.1,44.6,Similar superstar presence + win percentage,Similar superstar presence trend + 2nd player quality trend
Memphis Grizzlies,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.505,0.5,0.0,1,Ja Morant,Jaren Jackson Jr.,48,34,-0.018,0.4,0.0,5,pessimistic,San Antonio Spurs,2019-20 / 2020-21 / 2021-22,2021-22,99,126,0.439,-0.7,Dejounte Murray,Jakob Poeltl,"Dejounte Murray, Jakob Poeltl, Keldon Johnson, Devin Vassell, Lonnie Walker IV",-0.018,0.6,0.0,0.268,0.268,0.268,0.0,0.0,36.3,46.4,43.1,Similar superstar presence + star players gained,Similar superstar presence trend + win percentage trend
Miami Heat,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.511,0.7,0.0,1,Bam Adebayo,Tyler Herro,37,45,-0.043,0.5,0.0,1,top_1,Miami Heat,2015-16 / 2016-17 / 2017-18,2017-18,133,113,0.536,0.9,Hassan Whiteside,Goran Dragic,"Hassan Whiteside, Goran Dragic, Kelly Olynyk, Josh Richardson, James Johnson",-0.024,-0.6,0.0,0.476,0.603,0.539,1.0,4.0,39.4,46.6,49.3,Similar superstar presence + defensive rank,Similar superstar presence trend + defensive rank trend
Miami Heat,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.511,0.7,0.0,1,Bam Adebayo,Tyler Herro,37,45,-0.043,0.5,0.0,2,top_2,Memphis Grizzlies,2014-15 / 2015-16 / 2016-17,2016-17,140,106,0.557,0.2,Marc Gasol,Mike Conley,"Marc Gasol, Mike Conley, Zach Randolph, JaMychal Green, Tony Allen",-0.073,-1.5,0.0,0.268,0.402,0.335,0.0,0.0,38.6,53.3,43.0,Similar superstar presence + star players lost,Similar superstar presence trend + 2nd player quality trend
Miami Heat,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.511,0.7,0.0,1,Bam Adebayo,Tyler Herro,37,45,-0.043,0.5,0.0,3,top_3,Detroit Pistons,2015-16 / 2016-17 / 2017-18,2017-18,120,126,0.482,-0.5,Andre Drummond,Blake Griffin,"Andre Drummond, Blake Griffin, Ish Smith, Reggie Jackson, Anthony Tolliver",-0.03,-0.2,0.0,0.5,0.303,0.402,1.0,0.0,38.5,45.9,48.2,Similar superstar presence + roster potential,Similar superstar presence trend + win percentage trend
Miami Heat,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.511,0.7,0.0,1,Bam Adebayo,Tyler Herro,37,45,-0.043,0.5,0.0,4,optimistic,Miami Heat,2015-16 / 2016-17 / 2017-18,2017-18,133,113,0.536,0.9,Hassan Whiteside,Goran Dragic,"Hassan Whiteside, Goran Dragic, Kelly Olynyk, Josh Richardson, James Johnson",-0.024,-0.6,0.0,0.476,0.603,0.539,1.0,4.0,39.4,46.6,49.3,Similar superstar presence + defensive rank,Similar superstar presence trend + defensive rank trend
Miami Heat,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.511,0.7,0.0,1,Bam Adebayo,Tyler Herro,37,45,-0.043,0.5,0.0,5,pessimistic,San Antonio Spurs,2019-20 / 2020-21 / 2021-22,2021-22,99,126,0.439,-0.7,Dejounte Murray,Jakob Poeltl,"Dejounte Murray, Jakob Poeltl, Keldon Johnson, Devin Vassell, Lonnie Walker IV",-0.018,0.6,0.0,0.268,0.268,0.268,0.0,0.0,38.5,40.7,60.3,Similar superstar presence + roster depth,Similar superstar presence trend + roster depth trend
Milwaukee Bucks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.62,2.7,1.0,1,Giannis Antetokounmpo,Damian Lillard,48,34,-0.061,-0.5,0.0,1,top_1,Minnesota Timberwolves,1999-00 / 2000-01 / 2001-02,2001-02,147,99,0.597,2.5,Kevin Garnett,Terrell Brandon,"Kevin Garnett, Wally Szczerbiak, Chauncey Billups, Terrell Brandon, Joe Smith",0.0,0.4,0.0,0.622,0.707,0.665,1.0,3.0,39.7,50.9,46.1,Similar superstar presence + 2nd player quality,Similar superstar presence trend + offensive rank trend
Milwaukee Bucks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.62,2.7,1.0,1,Giannis Antetokounmpo,Damian Lillard,48,34,-0.061,-0.5,0.0,2,top_2,Cleveland Cavaliers,2005-06 / 2006-07 / 2007-08,2007-08,145,101,0.585,1.6,LeBron James,Zydrunas Ilgauskas,"LeBron James, Zydrunas Ilgauskas, Joe Smith, Ben Wallace, Wally Szczerbiak",-0.03,-1.4,0.0,0.805,0.744,0.774,3.0,2.0,38.6,45.4,49.0,Similar superstar presence + roster potential,Similar superstar presence trend + top player quality trend
Milwaukee Bucks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.62,2.7,1.0,1,Giannis Antetokounmpo,Damian Lillard,48,34,-0.061,-0.5,0.0,3,top_3,Cleveland Cavaliers,2015-16 / 2016-17 / 2017-18,2017-18,158,88,0.635,3.1,LeBron James,Kevin Love,"LeBron James, Kevin Love, Jordan Clarkson, Larry Nance Jr., Jeff Green",-0.043,-2.6,0.0,0.232,0.292,0.262,0.0,0.0,34.8,45.5,41.0,Similar superstar presence + net rating,Similar superstar presence trend + top player quality trend
Milwaukee Bucks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.62,2.7,1.0,1,Giannis Antetokounmpo,Damian Lillard,48,34,-0.061,-0.5,0.0,4,optimistic,Denver Nuggets,2019-20 / 2020-21 / 2021-22,2021-22,141,86,0.62,3.1,Nikola Jokić,Aaron Gordon,"Nikola Jokić, Aaron Gordon, Will Barton, Monte Morris, Bones Hyland",-0.022,0.0,0.0,0.646,0.695,0.671,5.0,2.0,30.9,33.5,49.4,Similar superstar presence + win percentage,Similar superstar presence trend + roster depth trend
Milwaukee Bucks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.62,2.7,1.0,1,Giannis Antetokounmpo,Damian Lillard,48,34,-0.061,-0.5,0.0,5,pessimistic,Cleveland Cavaliers,2015-16 / 2016-17 / 2017-18,2017-18,158,88,0.635,3.1,LeBron James,Kevin Love,"LeBron James, Kevin Love, Jordan Clarkson, Larry Nance Jr., Jeff Green",-0.043,-2.6,0.0,0.232,0.292,0.262,0.0,0.0,34.8,45.5,41.0,Similar superstar presence + net rating,Similar superstar presence trend + top player quality trend
Minnesota Timberwolves,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.606,4.3,0.0,2,Anthony Edwards,Julius Randle,49,33,0.043,2.4,0.0,1,top_1,Portland Trail Blazers,1996-97 / 1997-98 / 1998-99,1998-99,130,84,0.626,4.2,Arvydas Sabonis,Damon Stoudamire,"Arvydas Sabonis, Damon Stoudamire, Brian Grant, Rasheed Wallace, Isaiah Rider",0.051,1.2,0.0,0.72,0.61,0.665,3.0,1.0,45.6,64.2,48.6,Similar superstar presence + net rating,Similar superstar presence trend + 2nd player quality trend
Minnesota Timberwolves,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.606,4.3,0.0,2,Anthony Edwards,Julius Randle,49,33,0.043,2.4,0.0,2,top_2,Boston Celtics,2017-18 / 2018-19 / 2019-20,2019-20,152,84,0.643,4.9,Jayson Tatum,Kemba Walker,"Jayson Tatum, Kemba Walker, Jaylen Brown, Gordon Hayward, Enes Freedom",-0.002,1.3,0.0,0.5,0.622,0.561,0.0,4.0,40.6,53.2,46.1,Similar superstar presence + roster depth,Similar superstar presence trend + roster potential trend
Minnesota Timberwolves,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.606,4.3,0.0,2,Anthony Edwards,Julius Randle,49,33,0.043,2.4,0.0,3,top_3,Detroit Pistons,2001-02 / 2002-03 / 2003-04,2003-04,154,92,0.629,4.6,Ben Wallace,Rasheed Wallace,"Ben Wallace, Chauncey Billups, Rasheed Wallace, Richard Hamilton, Mehmet Okur",0.024,2.1,0.0,0.659,0.78,0.72,4.0,3.0,40.5,61.3,43.0,Similar superstar presence + net rating,Similar superstar presence trend + net rating trend
Minnesota Timberwolves,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.606,4.3,0.0,2,Anthony Edwards,Julius Randle,49,33,0.043,2.4,0.0,4,optimistic,Toronto Raptors,2015-16 / 2016-17 / 2017-18,2017-18,166,80,0.676,5.7,DeMar DeRozan,Kyle Lowry,"DeMar DeRozan, Kyle Lowry, Jonas Valančiūnas, Serge Ibaka, Fred VanVleet",0.018,1.6,0.0,0.707,0.736,0.722,5.0,2.0,37.4,43.1,49.2,Similar superstar presence + star players gained,Similar superstar presence trend + roster potential trend
Minnesota Timberwolves,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.606,4.3,0.0,2,Anthony Edwards,Julius Randle,49,33,0.043,2.4,0.0,5,pessimistic,Atlanta Hawks,2013-14 / 2014-15 / 2015-16,2015-16,146,100,0.606,3.5,Paul Millsap,Al Horford,"Paul Millsap, Al Horford, Dennis Schröder, Jeff Teague, Mike Scott",0.061,2.3,0.0,0.524,0.293,0.409,0.0,0.0,38.2,44.6,49.3,Similar superstar presence + win percentage,Similar superstar presence trend + net rating trend
New Orleans Pelicans,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.44,-1.7,0.0,0,Dejounte Murray,CJ McCollum,21,61,-0.128,-5.7,0.0,1,top_1,Atlanta Hawks,2015-16 / 2016-17 / 2017-18,2017-18,115,131,0.447,-1.6,Dennis Schröder,John Collins,"Dennis Schröder, Taurean Prince, John Collins, Kent Bazemore, Dewayne Dedmon",-0.146,-4.8,0.0,0.354,0.299,0.326,0.0,0.0,44.1,48.7,58.7,Similar superstar presence + net rating,Similar superstar presence trend + offensive rank trend
New Orleans Pelicans,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.44,-1.7,0.0,0,Dejounte Murray,CJ McCollum,21,61,-0.128,-5.7,0.0,2,top_2,Miami Heat,2000-01 / 2001-02 / 2002-03,2002-03,111,135,0.428,-2.3,Eddie Jones,Brian Grant,"Brian Grant, Caron Butler, Eddie Jones, Vladimir Stepania, Malik Allen",-0.152,-4.0,0.0,0.512,0.72,0.616,2.0,3.0,37.9,47.4,45.4,Similar superstar presence + star players gained,Similar superstar presence trend + 2nd player quality trend
New Orleans Pelicans,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.44,-1.7,0.0,0,Dejounte Murray,CJ McCollum,21,61,-0.128,-5.7,0.0,3,top_3,New Orleans Hornets,2002-03 / 2003-04 / 2004-05,2004-05,106,140,0.406,-2.4,P.J. Brown,Speedy Claxton,"P.J. Brown, Speedy Claxton, Dan Dickau, Chris Andersen, Lee Nailon",-0.177,-5.0,0.0,,,,,,37.8,44.0,49.0,Similar superstar presence + top player quality,Similar superstar presence trend + top player quality trend
New Orleans Pelicans,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.44,-1.7,0.0,0,Dejounte Murray,CJ McCollum,21,61,-0.128,-5.7,0.0,4,optimistic,Miami Heat,2000-01 / 2001-02 / 2002-03,2002-03,111,135,0.428,-2.3,Eddie Jones,Brian Grant,"Brian Grant, Caron Butler, Eddie Jones, Vladimir Stepania, Malik Allen",-0.152,-4.0,0.0,0.512,0.72,0.616,2.0,3.0,37.9,47.4,45.4,Similar superstar presence + star players gained,Similar superstar presence trend + 2nd player quality trend
